Product,Category,Subheading,Article Title
Aptitude & Career Discovery,Training & resources,Teaching resources,Classroom-ready lessons for grades 6-12
Aptitude & Career Discovery,Training & resources,Teaching resources,Best-fit career exploration: Educator-led slide deck
Aptitude & Career Discovery,Training & resources,Teaching resources,Results walkthrough toolkit
Aptitude & Career Discovery,Training & resources,Teaching resources,Conversation starters
Aptitude & Career Discovery,Training & resources,Teaching resources,"Georgia: Introduce Snippet, Snapshot, & Summit to students through SLDS"
Aptitude & Career Discovery,Training & resources,Student resources,Student workbooks
Aptitude & Career Discovery,Training & resources,Student resources,Aptitude results tracker
Aptitude & Career Discovery,IEC,,Get started as an Independent Educational Consultant (IEC)
Aptitude & Career Discovery,IEC,,IEC - How do I get my client started?
Aptitude & Career Discovery,IEC,,1-on-1 Advising Rollout Checklist
Aptitude & Career Discovery,FAQs,,FAQs: Aptitude & Career Discovery
Aptitude & Career Discovery,FAQs,,What is the difference between aptitudes & interests?
Aptitude & Career Discovery,FAQs,,Why does my Aptitude & Career Discovery learner only see Industry Certifications?
Aptitude & Career Discovery,FAQs,,How do I purchase an Aptitude & Career Discovery account?
Aptitude & Career Discovery,FAQs,,Can I use an iPad/tablet device to take the brain games?
Aptitude & Career Discovery,FAQs,,How do students move from the 7th or 8th grade version to the full version of Aptitude & Career Discovery?
Aptitude & Career Discovery,FAQs,,How can students with learning differences take the brain games?
Aptitude & Career Discovery,FAQs,,Troubleshooting and common errors
Aptitude & Career Discovery,FAQs,,Discovery statuses
Aptitude & Career Discovery,FAQs,,Career Cluster descriptions
Aptitude & Career Discovery,FAQs,,Georgia: Complete Summit (with or without Snapshot)
College & Career Readiness Planner,Start here,,Quick start guide
College & Career Readiness Planner,Start here,,Solution brief
College & Career Readiness Planner,Setup & preparation,,Request & prepare for CCR
College & Career Readiness Planner,Use CCR,,CCR: Middle school
College & Career Readiness Planner,Use CCR,,CCR: High school
College & Career Readiness Planner,Use CCR,,CCR: Admin & counselor dashboard
Industry Certifications,Start here,,Industry Certifications: Admin quick start guide
Industry Certifications,Start here,,Industry Certifications: Proctor quick start guide
Industry Certifications,Start here,,Solution brief
Industry Certifications,Start here,,Available Industry Certification exams
Industry Certifications,Start here,,Exam updates year-to-year
Industry Certifications,Setup & preparation,,Proctor agreement
Industry Certifications,Setup & preparation,,Exam types
Industry Certifications,Setup & preparation,,Best practices for exam preparation
Industry Certifications,Setup & preparation,,"Create, proctor, and manage exam codes"
Industry Certifications,Setup & preparation,,Exam accessibility and accommodations
Industry Certifications,Setup & preparation,,Create a post-exam from another proctor's pre-exam
Industry Certifications,Setup & preparation,,NCHSE exams in Industry Certifications
Industry Certifications,Setup & preparation,,Georgia: Prepare for certifications
Industry Certifications,Use Industry Certifications,,Industry Certifications: Student instructions
Industry Certifications,Use Industry Certifications,,Deliver exam codes to students
Industry Certifications,Use Industry Certifications,,Time needed for an exam
Industry Certifications,Use Industry Certifications,,Remote proctoring: Teacher instructions
Industry Certifications,Use Industry Certifications,,Remote proctoring: Student instructions
Industry Certifications,Use Industry Certifications,,Exam retakes: Proctor instructions
Industry Certifications,Use Industry Certifications,,Exam retakes: Student instructions
Industry Certifications,Use Industry Certifications,,Download and print student certificates: Proctor instructions
Industry Certifications,Use Industry Certifications,,View student exam history
Industry Certifications,Use Industry Certifications,,Manage performance requirements
Industry Certifications,Use Industry Certifications,,Capstone Certifications
Industry Certifications,Use Industry Certifications,,Log 3rd party Industry Tests
Industry Certifications,Use Industry Certifications,,Exam errors and troubleshooting
Industry Certifications,Data & reports,,Reports cheat sheet
Industry Certifications,Data & reports,,Reports available to admins
Industry Certifications,Data & reports,,Reports available to staff
Industry Certifications,Data & reports,,Reports available to proctors
Industry Certifications,Data & reports,,Industry recognition report
Industry Certifications,Data & reports,,Exam performance report
Industry Certifications,Data & reports,,Proctor performance report
Industry Certifications,Data & reports,,Class performance report
Industry Certifications,Data & reports,,Single exam summary report
Industry Certifications,Data & reports,,Student growth report
Industry Certifications,Data & reports,,District summary report
Industry Certifications,Data & reports,,Pre/post exam summary report
Industry Certifications,Data & reports,,Student performance report
Industry Certifications,Data & reports,,3rd-party industry tests reporting
Industry Certifications,Training & resources,,Getting started with Industry Certifications: Course for proctors
Industry Certifications,Training & resources,,Pre-recorded training webinar: Industry Certifications
Industry Certifications,Training & resources,,Register for a live training webinar
Industry Certifications,Training & resources,,The value of Industry Certifications: Educator-led slide deck
Industry Certifications,Training & resources,,Industry Certifications: Parent guide
Industry Certifications,Training & resources,,Your guide to certification labs
Industry Certifications,FAQs,,FAQs: Industry Certifications
Industry Certifications,FAQs,,What textbooks are available to go along with the exams?
Industry Certifications,FAQs,,What question types are used on an Industry Certification exam?
Industry Certifications,FAQs,,Are exams translated or available in other languages?
Industry Certifications,FAQs,,What are pilot exams?
Industry Certifications,FAQs,,What is an exam code?
Industry Certifications,FAQs,,How do I add exam codes for my proctors?
Industry Certifications,FAQs,,Why can't I take an exam as a teacher/proctor?
Industry Certifications,FAQs,,How do I find which exam is best for my course?
Industry Certifications,FAQs,,What is a cut score/passing percentage?
Industry Certifications,FAQs,,How do I view student results?
Industry Certifications,FAQs,,How do I find my missing exam history?
Education Connections,Start here,,Quick start guide
Education Connections,Start here,,Education Connections solution brief
Education Connections,Setup & preparation,,Manage and edit your college offerings
Education Connections,Use Education Connections,,Explore and plan for college
Education Connections,Use Education Connections,,Majors/programs tool
Education Connections,Use Education Connections,,Schools tool
Education Connections,Use Education Connections,,Scholarships tool
Education Connections,Use Education Connections,,Plan for college tool
Education Connections,Use Education Connections,,Personalized college landing page
Education Connections,Common App,,Common App: FAQs
Education Connections,Common App,,Common App: Counselor instructions
Education Connections,Common App,,Common App: Student instructions
Education Connections,Common App,,Common App: Teacher instructions
Education Connections,Training & resources,,Pre-recorded training webinar: Education Connections & Career Connections
Education Connections,Training & resources,,College planning and applications: Educator-led slide deck
Education Connections,FAQs,,Where can students opt in to share or manage sharing preferences?
Work-Based Learning,Start here,,Quick start guide
Work-Based Learning,Start here,,Solution brief
Work-Based Learning,Start here,,Welcome to Brightpath WBL: Your transition guide from Seamless WBL
Work-Based Learning,Setup & preparation,,Get started with Work-Based Learning (WBL)
Work-Based Learning,Setup & preparation,,Create employers in the Employer Directory
Work-Based Learning,Setup & preparation,,Create labels
Work-Based Learning,Setup & preparation,,Create fillable forms
Work-Based Learning,Setup & preparation,,Create email templates
Work-Based Learning,Setup & preparation,,Create e-sign documents
Work-Based Learning,Setup & preparation,,Create WBL opportunities
Work-Based Learning,Setup & preparation,,Create WBL activities
Work-Based Learning,Setup & preparation,,Create advisory boards
Work-Based Learning,Setup & preparation,,Manage your private employer profile within WBL
